full_name,a,e,i,om,w,q,ad,per_y,data_arc,condition_code,n_obs_used,n_del_obs_used,n_dop_obs_used,H,diameter,extent,albedo,rot_per,GM,BV,UB,IR,spec_B,spec_T
"  1556 Wingolfia (1942 AA)",3.42741911257116,.1091440606790645,15.74878778098863,91.61336551690577,269.7663788739653,3.053336672976108,3.801501552166213,6.34540028184194,26051,0,1013,,,10.55,28.65,,0.1297,10.,,.708,.202,,,XC
"  1560 Strattonia (1942 XB)",2.683892023006718,.2137459537873828,6.28663537542682,289.1431576301556,94.92573648564014,2.110220962686799,3.257563083326638,4.39699287178296,26020,0,1184,,,11.5,,,,18.423,,,,,C,
"  1562 Gondolatsch (1943 EE)",2.226402168634754,.07825874162925728,4.884367886914428,129.4943399582232,83.41765029251616,2.052166736556749,2.40063760071276,3.32210708022994,31943,0,1525,,,11.9,11.52,,0.2536,8.78,,,,,S,
"  1563 Noel (1943 EG)",2.191543259434228,.08569650946542735,5.982623146141916,53.66325623025266,116.0342770540179,2.003735651758229,2.379350867110227,3.24439164142292,30669,0,1241,,,12.4,,,,3.5495,,,,,Sa,
"  1564 Srbija (1936 TB)",3.171032803003061,.1970928090508623,11.02147301777324,177.6153030145042,229.2301396091792,2.546045040266758,3.796020565739364,5.64688969260169,29341,0,1233,,,10.88,,,,9.135,,.698,.331,,,X
"  1565 Lemaitre (1948 WA)",2.393288083140427,.3478362580203956,21.46484890879636,261.3661615523824,115.9539888264859,1.560815711936055,3.225760454344798,3.70254776411749,23598,0,1385,,,12.5,,,,11.403,,,,,Sq,
"  1567 Alikoski (1941 HN)",3.210998459026207,.08462167034730789,17.27918081966656,51.60332185756817,111.9609154719288,2.939278405940777,3.482718512111636,5.75397999961638,27542,0,1053,,,9.47,67.83,,0.0626,16.405,,.720,,,C,PU
"  1576 Fabiola (1948 SA)",3.146070253143749,.1673891728874422,.9493489154016843,166.6057166465823,243.4829492075361,2.619452155624231,3.672688350663267,5.58034213708349,29860,0,1549,,,11.04,27.25,,0.0913,6.7,,.632,.405,,,BU
"  1578 Kirkwood (1951 AT)",3.934278624079961,.2391655368908769,.8093260594211406,73.98748094499034,2.46542681878265,2.993334764673576,4.875222483486345,7.80379535664954,25564,0,1403,,,10.26,51.88,,0.0517,12.518,,.788,.276,,,D
"  1579 Herrick (1948 SB)",3.43509347130004,.1273555200421588,8.762856349576706,184.1560374225254,280.1786940570796,2.997615355869199,3.872571586730881,6.36672425433796,30829,0,1304,,,10.68,42.73,,0.0517,,,.645,.289,,,F
